restaurant_id,restaurant_name,rating,n_comment,rank,url
98,Halim Restaurant,4,37,"#98 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4610404-Reviews-Halim_Restaurant-Surabaya_East_Java_Java.html
99,Guilin Restaurant,4,47,"#99 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4610417-Reviews-Guilin_Restaurant-Surabaya_East_Java_Java.html
100,Boncafe Raya Kupang Indah,4,44,"#100 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d6488804-Reviews-Boncafe_Raya_Kupang_Indah-Surabaya_East_Java_Java.html
101,Depot 369 Shanghai Dumpling and Noodle,4,68,"#101 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4231959-Reviews-Depot_369_Shanghai_Dumpling_and_Noodle-Surabaya_East_Java_Java.html
102,Pecel Madiun Bu Kus,4,54,"#102 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d8308596-Reviews-Pecel_Madiun_Bu_Kus-Surabaya_East_Java_Java.html
103,Chasio Garing Madu Hok Siong,4.5,30,"#103 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d8698232-Reviews-Chasio_Garing_Madu_Hok_Siong-Surabaya_East_Java_Java.html
104,Pepper Lunch Plaza Tunjungan,4,58,"#104 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4233898-Reviews-Pepper_Lunch_Plaza_Tunjungan-Surabaya_East_Java_Java.html
105,Journey Oriental Kitchen & Bar,4,43,"#105 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d10365451-Reviews-Journey_Oriental_Kitchen_Bar-Surabaya_East_Java_Java.html
106,The Cafe,4.5,22,"#106 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d12097617-Reviews-The_Cafe-Surabaya_East_Java_Java.html
107,Warung Bebek Goreng H.Slamet,4,46,"#107 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d3641225-Reviews-Warung_Bebek_Goreng_H_Slamet-Surabaya_East_Java_Java.html
108,Bebek Goreng Tugu Pahlawan,4,60,"#108 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4231957-Reviews-Bebek_Goreng_Tugu_Pahlawan-Surabaya_East_Java_Java.html
109,Spesial Belut Surabaya,4,40,"#109 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d7225473-Reviews-Spesial_Belut_Surabaya-Surabaya_East_Java_Java.html
110,Hari Hari Resto,4,37,"#110 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4610182-Reviews-Hari_Hari_Resto-Surabaya_East_Java_Java.html
111,Lontong Balap Pak Gendut,4,47,"#111 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d6948867-Reviews-Lontong_Balap_Pak_Gendut-Surabaya_East_Java_Java.html
112,McDonald's,4,63,"#112 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d5020146-Reviews-McDonald_s-Surabaya_East_Java_Java.html
113,Aiola Eatery,4,31,"#113 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d8758390-Reviews-Aiola_Eatery-Surabaya_East_Java_Java.html
114,Carnivor,4,48,"#114 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d10798093-Reviews-Carnivor-Surabaya_East_Java_Java.html
115,Sarkies,4,58,"#115 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d1892523-Reviews-Sarkies-Surabaya_East_Java_Java.html
116,Lontong Balap Rajawali,4,29,"#116 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d8472009-Reviews-Lontong_Balap_Rajawali-Surabaya_East_Java_Java.html
117,Pecel Ponorogo Bu Yatin,4,63,"#117 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4258950-Reviews-Pecel_Ponorogo_Bu_Yatin-Surabaya_East_Java_Java.html
118,X.O. Porridge & Dim Sum,4,36,"#118 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4508323-Reviews-X_O_Porridge_Dim_Sum-Surabaya_East_Java_Java.html
119,"TuttoBono Ristorante, Lounge & Bar",4,35,"#119 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d12034417-Reviews-TuttoBono_Ristorante_Lounge_Bar-Surabaya_East_Java_Java.html
120,Sego Sambel Mak Yeye,4,35,"#120 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d9564738-Reviews-Sego_Sambel_Mak_Yeye-Surabaya_East_Java_Java.html
121,Kober Mie Setan,4,32,"#121 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d9581383-Reviews-Kober_Mie_Setan-Surabaya_East_Java_Java.html
122,Mie Mapan,3.5,106,"#122 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d3451346-Reviews-Mie_Mapan-Surabaya_East_Java_Java.html
123,Konro Perak,4.5,23,"#123 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d10078623-Reviews-Konro_Perak-Surabaya_East_Java_Java.html
124,Carl's Jr,4,45,"#124 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d8536507-Reviews-Carl_s_Jr-Surabaya_East_Java_Java.html
125,Terminal Live Seafood,4.5,53,"#125 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4750342-Reviews-Terminal_Live_Seafood-Surabaya_East_Java_Java.html
126,Paradise Dynasty Ciputra World,4,50,"#126 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4480612-Reviews-Paradise_Dynasty_Ciputra_World-Surabaya_East_Java_Java.html
127,Ayam Goreng Pemuda,4,37,"#127 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d7003738-Reviews-Ayam_Goreng_Pemuda-Surabaya_East_Java_Java.html
